"period","price_system","observed_sorting_gap","model_sorting_gap","preference_component","opportunity_component","interaction_component"
"pre","Male price",0.000306610573925205,0.000939110573160791,-0.000379808012212673,0.000444675377196562,0.000874243208176901
"post","Male price",-6.62612240144861e-05,-0.00605155519937369,0.00140728681428187,-0.00483672483196985,-0.00262211718168571
"pre","Female price",-0.000664370054901385,0.00310508917040491,-0.00134841540640934,0.00351530199763609,0.000938202579178159
"post","Female price",7.98140970489322e-05,0.00038966664565338,-0.00129297367635522,0.000261222305191235,0.00142141801681736
