"price_system","component","pre","post","change_post_minus_pre"
"Male price","observed_sorting_gap",0.000849325326338101,-0.000313765738978538,-0.00116309106531664
"Male price","model_sorting_gap",0.000326704549168,0.000208709865056596,-0.000117994684111405
"Male price","preference_component",0.000498915400881538,0.00209812257113652,0.00159920717025499
"Male price","opportunity_component",-0.000270024143885162,-0.00132703958088417,-0.00105701543699901
"Male price","interaction_component",9.78132921716245e-05,-0.000562373125195754,-0.000660186417367378
"Female price","observed_sorting_gap",0.00209235204229264,0.000485149921531311,-0.00160720212076133
"Female price","model_sorting_gap",0.00543981936766652,0.000464947259477827,-0.0049748721081887
"Female price","preference_component",0.00532807918391724,-1.24436111112699e-05,-0.00534052279502851
"Female price","opportunity_component",0.000989027388496844,-0.0004014523166475,-0.00139047970514434
"Female price","interaction_component",-0.000877287204747557,0.000878843187236597,0.00175613039198415
