"period","price_system","observed_sorting_gap","model_sorting_gap","preference_component","opportunity_component","interaction_component"
"pre","Male price",0.000849325326338101,0.000326704549168,0.000498915400881538,-0.000270024143885162,9.78132921716245e-05
"post","Male price",-0.000313765738978538,0.000208709865056596,0.00209812257113652,-0.00132703958088417,-0.000562373125195754
"pre","Female price",0.00209235204229264,0.00543981936766652,0.00532807918391724,0.000989027388496844,-0.000877287204747557
"post","Female price",0.000485149921531311,0.000464947259477827,-1.24436111112699e-05,-0.0004014523166475,0.000878843187236597
