"row_label","V_e","psi","alpha_rosen"
"Overall",-0.125194707361824,-0.00697905658331586,-0.12387715620248
"Pre-period",-0.150623396577915,-0.00608344321157555,-0.14935501455257
"Post-period",-0.0852778223678327,-0.00451499368879544,-0.0884701151697792
